Verse Number, Verse Text
3.,Here (shall be) thy (life's) spirit here thy inbreathing here thy life here thy mind! We rescue thee from the toils of Nirriti (destruction) by means of our divine utterance. 
4.,Rise up hence O man! Casting off the footshackles of death do not sink down! Be not cut off from this world from the sight of Agni and the sun! 
5.,The wind Matarisvan shall blow for thee the waters shall shower amrita (ambrosia) upon thee the sun shall shine kindly for thy body! Death shall pity thee: do not waste away! 
6.,Thou shalt ascend and not descend O man! Life and alertness do I prepare for thee. Mount forsooth this imperishable pleasant car; then in old age thou shalt hold converse with thy family! 
7.,Thy mind shall not go thither shall not disappear! Do not become heedless of the living do not follow the Fathers! All the gods shall preserve thee here! 
8.,Do not long after the departed who conduct (men) afar! Ascend from the darkness come to the light! We lay hold of thy hands. 
9.,The two dogs of Yama the black and the brindled one that guard the road (to heaven) that have been despatched shall not (go after) thee! Come hither do not long to be away; do not tarry here with thy mind turned to a distance! 
10.,Do not follow this path: it is terrible! I speak of that by which thou hast not hitherto gone. Darkness is this O man do not enter it! Danger is beyond security here for thee. 
11.,May the fires that are within the waters gLiard thee may (the fire) which men kindle guard thee may Gatavedas Vaisvanara (the fire common to all men) guard thee! Let not the heavenly 
1346,
12.,Let not the flesh-devouring (fire) menace thee: move afar from the funeral pyre! Heaven shall guard thee the earth shall guard thee the sun and moon shall guard thee the atmosphere shall guard thee against the divine missile! 
13.,May the alert and the watchful divinities guard thee may he that sleeps not and nods not guard thee may he that protects and is vigilant guard thee ! 
14.,They shall guard thee they shall protect thee. Reverence be to them. Hail be to them! 
15.,Into converse with the living Vayu Indra Dhatar and saving Savitar shall put thee; breath and strength shall not leave thee! Thy (life's) spirit do we call back to thee. 
16.,Convulsions that draw the jaws together darkness shall not come upon thee nor (the demon) that tears out the tongue (?)! How shalt thou then waste away? The Adityas and Vasus Indra and Agni shall raise thee up unto well-being ! 
17.,The heavens the earth Pragapati have rescued thee. The plants with Soma their king have delivered thee from death. 
18.,Let this man remain right here ye gods let him not depart hence to yonder world! We rescue him from death with (a charm) of thousandfold strength. 
19.,1 have delivered thee from death. The (powers) that furnish strength shall breathe upon thee. The (mourning women) with dishevelled hair they that wail lugubriously shall not wail over thee! 
20.,1 have snatched thee (from death) I have obtained thee; thou hast returned with renewed youth. O thou that art (now) sound of limb for thee sound sight and sound life have I obtained. 
21.,It has shone upon thee light has arisen darkness has departed from thee. We remove from thee death destruction and disease. 
1.,Take hold of this (charm) that subjects to immortality (life) may thy life unto old age not be cut off! I bring to thee anew breath and life: not to mist and darkness do not waste away! 
2.,Come hither to the light of the living; I rescue thee unto a life of a hundred autumns! Loosing the bands of death and imprecation I bestow upon thee long life extended very far. 
3.,From the wind thy breath I have obtained from the sun thine eye; thy soul I hold fast in thee: be together with thy limbs speak articulating with thy tongue! 
4.,With the breath of two-footed and four-footed creatures I blow upon thee as on Agni when he is born (as on fire when kindled). I have paid reverence O death to thine eye reverence to thy breath. 
5.,This (man) shall live and shall not die: we rouse this man (to life)! I make for him a remedy: O death do not slay the man! 
6.,The plant givala (quickening 1 ) na-gha-risha ('forsooth-no-harm') and givanti ('living) a 
1347,
7.,Befriend him do not seize him let him go (O death); though he be thy very own let him abide here with unimpaired strength! O Bhava and Sarva take pity grant Protection; misfortune drive away and life bestow ! 
8.,Befriend him death and pity him: may he from here arise! Unharmed with sound limbs hearing perfectly through old age carrying a hundred years let him get enjoyment by himself (unaided) ! 
9.,The missile of the gods shall pass thee by! I pass thee across the mist (of death); from death I have rescued thee. Removing far the flesh-devouring Agni a barrier do I set around thee that thou mayest live. 
10.,From thy misty road that cannot be withstood O death from this path (of thine) we guard this (man) and make our charm a protection for him. 
11.,In-breathing and out-breathing do I prepare for thee death in old age long life and prosperity. All the messengers of Yama that roam about dispatched by Vivasvant's son do I drive away. 
12.,Arati (grudge) Nirriti (destruction) Grahi (seizure) and the flesh-devouring Pisakas (do we drive) away to a distance and hurl all wicked Rakshas away into darkness as it were. 
13.1,crave thy life's breath from the immortal life-possessing Agni Gatavedas. That thou shalt not take harm shalt be immortal in (Agni's) company that do I procure for thee and that shall be fulfilled for thee! 
14.,May heaven and earth the bestowers of happiness be auspicious and harmless to thee; may the sun-shine and the wind blow comfort to thy heart; may the heavenly waters rich in milk flow upon thee kindly! 
15.,May the plants be auspicious to thee! I have raised thee from the lower to the upper earth: there may both the Adityas the sun and the moon . protect thee. 
16.,Whatever garment for clothing or whatever girdle thou makest for thyself agreeable to thy body do we render it; not rough to thy touch shall it be! 
17.,When thou the barber shearest with thy sharp well-whetted razor our hair and beard do not while cleansing our face rob us of our life! 
18.,Rice and barley shall be auspicious to thee causing no balasa inflicting no injury! They two drive away disease they two release from calamity. 
19.,Whatever thou eatest or drinkest the grain of the plough-land or milk whatever is or is not to be eaten all that food do I render for thee free from poison. 
20.,To day and to night both do we commit thee: from the demons that seek to devour do ye preserve this (man) for me! 
21.,A hundred years ten thousand years two three four ages (yuga) do we allot to thee; Indra and Agni and all the gods without anger shall favour thee! 
22.,To autumn thee to winter spring and summer do we commit; the rains in which grow the plants shall be pleasant to thee! 
23.,Death rules over bipeds death rules over quadrupeds. From that death the lord of cattle do I 
1348,
24.,Free from harm thou shalt not die; thou shalt not die: do not fear! Verily they do not die there they do not go to the nethermost darkness;— 
25.,Verily every creature lives there the cow the horse and man where this charm is performed as the (protecting) barrier for life. 
26.,May it preserve thee from sorcery from thy equals and thy kin! Undying be immortal exceedingly vital; thy spirits shall not abandon thy body! 
27.,From the one and a hundred deaths from the dangers that are surmountable from that Agai Vaisvanara (the funeral pyre?) may the gods deliver thee! 
28.,Thou the remedy called p6tudru art the body of Agni the deliverer slayer of Rakshas slayer of rivals moreover thou chasest away disease. 
1.,From near thy vicinity from near thy distance (do I call): remain here do not follow; do not follow the Fathers of yore! Firmly do I fasten thy life's breath. 
2.,Whatever sorcery any kinsman or stranger has practised against thee both release and deliverance with my voice do I declare for thee. 
3.,If thou hast deceived or cursed a woman or a man in thy folly both release and deliverance with my voice do I declare for thee. 
4.,If thou liest (ill) in consequence of a sin committed by thy mother or thy father both release and deliverance with my voice do I declare for thee. 
5.,Fight shy of the medicine which thy mother and thy father thy sister and thy brother let out against thee: I shall cause thee to live unto old age! 
6.,Remain here O man with thy entire soul; do not follow the two messengers of Yama: come to the abodes of the living ! 
7.,Return when called knowing the outlet of the path (death) the ascent the advance the road of every living man! 
8.,Fear not thou shalt not die: I shall cause thee to live unto old age! I have charmed away from thy limbs the disease that wastes the limbs. 
9.,The disease that racks and wastes thy limbs and the sickness in thy heart has flown as an eagle to a far distance overcome by my charm. 
10.,The two sages Alert and Watchful the sleepless and the vigilant these two guardians of thy life's breath are awake both day and night. 
11.,Agni here is to be revered; the sun shall rise here for thee: rise thou from deep death yea from black darkness ! 
12.,Reverence be to Yama reverence to death; reverence to the Fathers and to those that lead (to them) [death's messengers?] ! That Agni who knows the way to save do I engage for this man 
1349,
13.,His breath shall come his soul shall come his sight shall come and too his strength! His body shall collect itself: then shall he stand firm upon his feet! 
14.,Unite him Agni with breath and sight provide him with a body and with strength! Thou hast a knowledge of immortality: let him not now depart let him not now become a dweller in a house of clay! 
15.,Thy in-breathing shall not cease thy outbreathing shall not vanish; Surya (the sun) the supreme lord shall raise thee from death with his rays ! 
16.,This tongue (of mine) bound (in the mouth yet) mobile speaks within: with it I have charmed away disease and the hundred torments of the takman (fever). 
17.,This world is most dear to the gods unconquered. For whatever death thou wast destined when thou wast born O man that (death) and we call after thee: do not die before old age! 
1.,Come hither! Thou art the living protecting eye-ointment of the mountain given by all the gods as a safeguard unto life. 
2.,Thou art a protection for men a protection for cattle thou didst stand for the protection of horses and steeds. 
3.,Thou art O salve both a protection that crushes the sorcerers and thou hast knowledge of immortality (amrita). Moreover thou art food for the living and thou art too a remedy aorainst jaundice. 
4.,From him over whose every limb and every joint thou passest O salve thou dost as a mighty intercepter drive away disease. 
5.,Him that bears thee O salve neither curse nor sorcery nor burning pain does reach; nor does thevishkandha come upon him. 
6.,From evil scheme from troubled dream from evil deed and also from foulness.; from the evil eye of the enemy from this protect us O salve! 
7.,Knowing this O salve I shall speak the truth avoid falsehood. May I obtain horses and cattle and thy person O serving-man! 
8.,Three are servants of the salve: the takman (fever) the balasa and the serpent. The highest of the mountains Trikakud ('Three-peaks') by name is thy father. 
9.,Since the salve of Trikakud is born upon the Himavant it shall demolish all the wizards and all the witches. 
10.,Whether thou art derived from the (mountain) Trikakud or art said to come from the (river) Yamuna both these names of thine are auspicious: with these O salve protect us! 
1350,
1.,Bom of the wind the atmosphere the lightning and the light may this pearl shell born of gold protect us from straits ! 
2.,With the shell which was born in the sea at the head of bright substances we slay the Rakshas and conquer the Atrins (devouring demons). 
3.,With the shell (we conquer) disease and poverty; with the shell too the Saanvas. The shell is our universal remedy; the pearl shall protect us from straits ! 
4.,Bom in the heavens bom in the sea brought on from the river (Sindhu) this shell bom of gold is our life-prolonging amulet. 
5.,The amulet born from the sea a sun born from Vritra (the cloud) shall on all sides protect us from the missiles of the gods and the Asuras ! 
6.,Thou art one of the golden substances thou art bom from Soma (the moon). Thou art sightly on the chariot thou art brilliant on the quiver. [May it prolong our lives!] 
7.,The bone of the gods turned into pearl; that animated dwells in the waters. That do I fasten upon thee unto life lustre strength longevity unto a life lasting a hundred autumns May the (amulet) of pearl protect thee! 
1.,The gold which is bom from fire the immortal they bestowed upon the mortals. He who knows this deserves it; of old age dies he who wears it. 
2.,The gold (endowed by) the sun with beautiful colour which the men of yore rich in descendants did desire may it gleaming envelop thee in lustre! Long-lived becomes he who wears it! 
3.,(May it envelop) thee unto (long) life unto lustre unto force and unto strength that thou shalt by the brilliancy of the gold shine forth among people! 
4.,(The gold) which king Varuna knows which god Brihaspati knows which Indra the slayer of Vritra knows may that become for thee a source of life may that become for thee a source of lustre! 
1351,
1.,The sorcerer (yatudhana) that vaunts himsel and the Kimidin do thou O Agni convey hither! For thou O god when lauded becomest the destroyer of the demon. 
2.,Partake of the ghee of the sesame-oil O Agni Gatavedas that standest on high conquerest by thyself! Make the sorcerers howl! 
3.,The sorcerers and the devouring (atrin) Kimidin shall howl! Do ye moreover O Agni and Indra receive graciously this our oblation! 
4.,Agni shall be the first to seize them Indra with his (strong) arms shall drive them away! Every wizard as soon as he comes shall proclaim himself saying 'I am he'! 
5.,We would see thy might O Gatavedas; disclose to us the wizards O thou that beholdest men! May they all driven forth by thy fire disclosing themselves come to this spot! 
6.,Seize hold O Gatavedas: for our good thou wast born! Become our messenger O Agni and make the sorcerers howl! 
7.,Do thou O Agni drag hither the sorcerers bound in shackles; then Indra with his thunderbolt shall cut off their heads ! 
1.,May this oblation carry hither the sorcerers as a river (carries) foam! The man or the woman who has performed this (sorcery) that person shall here proclaim himself! 
2.,This vaunting (sorcerer) has come hither: receive him with alacrity! O Brihaspati put him into subjection; O Agni and Soma pierce him through! 
3.,Slay the offspring of the sorcerer O soma-drinking (Indra) and subject (him)! Make drop out the farther and the nearer eye of the braggart (demon)! 
4.,Wherever O Agni Gatavedas thou perceivest the brood of these hidden devourers (atrin) do thou mightily strengthened by our charm slay them: slay their (brood) O Agni piercing them a hundredfold! 
1352,
1,16. Charm with lead against demons and sorcerers. 
1.,Against the devouring demons who in the night of the full-moon have arisen in throngs may Agni the strong the slayer of the sorcerers give us courage ! 
2.,To the lead Varuna gives blessing to the lead Agni gives help. Indra gave me the lead: unfailingly it dispels sorcery. 
3.,This (lead) overcomes the vishkandha this smites the devouring demons (atrin); with this I have overwhelmed all the brood of the Pisakas. 
4.,If thou slayest our cow if our horse or our domestic we pierce thee with the lead so that thou shalt not slay our heroes. 
1.,Press the soma ye priests and rinse it (for renewed pressing) in behalf of Indra who shall listen to the song of the worshipper and to my call! 
2.,Do thou O doughty (Indra) whom the drops of soma enter as birds a tree beat off the hostile brood of the Rakshas ! 
3.,Press ye the soma for Indra the soma-drinker who wields the thunderbolt! A youthful victor and ruler is he praised by many men. 
1.,Nissala the bold the greedy demon (?dhishana) and (the female demon) with long-drawn howl the bloodthirsty; all the daughters of Kanda the Sadanvas do we destroy. 
2.,We drive you out of the stable out of the axle (of the wagon) and the body of the wagon; we chase you O ye daughters of Magundi from the house. 
3.,In yonder house below there the grudging demons (arayi) shall exist; there ruin shall prevail and all the witches ! 
4.,May (Rudra) the lord of beings and Indra. drive forth from here the Sadanvas; those that am seated on the foundation of the house Indra shall overcome with his thunderbolt! 
5.,Whether ye belong to (the demons) of inherited disease whether ye have been dispatched by men or whether ye have originated from the Dasyus (demon-like aborigines) vanish from here O ye Sadanvas ! 
6.,About their dwelling-places I did swiftly course as if on a race-course. I have won all contests with you: vanish from here O ye Sadanvas! 
1353,
1.,Of karsapha and visapha heaven is the father and earth the mother. As ye gods ye have brought on (the trouble) thus do ye again remove it! 
2.,Without fastening the) (the protecting plants?) held fast thus it has been arranged by Manu. The vishkandha do I render impotent like one who gelds cattle. 
3.,A talisman tied to a reddish thread the active (seers) then do fasten on: may the fastenings render impotent the eager fiery kabava! 
4.,And since O ye eager (demons) ye walk like gods by the wile of the Asuras the fastening (of the amulet) is destructive to the kabava as the ape to the dog. 
5.,1 revile thee the kabava unto misfortune (and) shall work harm for thee. Accompanied with curses ye shall go out like swift chariots ! 
6.,A hundred and one vishkandha are spread out along the earth; for these at the beginning they brought out thee the amulet that destroys vishkandha. 
1.,He sees here he sees yonder he sees in the distance he sees— the sky the atmosphere as well as the earth all that O goddess he sees. 
2.,The three heavens the three earths and these six directions severally; all creatures may I see through thee O divine plant! 
3.,Thou art verily the eyeball of the divine eagle; thou didst ascend the earth as a weary woman a palanquin. 
4.,The thousand-eyed god shall put this plant into my right hand: with that do I see every one the Sudra as well as the Ary a. 
5.,Reveal (all) forms do not hide thy own self; moreover do thou O thousand-eyed (plant) look the Kimidins in the face ! 
6.,Reveal to me the wizards and reveal the witches reveal all the Pisakas: for this purpose do I take hold of thee O plant! 
7.,Thou art the eye of Kasyapa and the eye of the four-eyed bitch. Like the sun moving in the bright day make thou the Pisaka evident to me ! 
8.,1 have dragged out from his retreat the sorcerer and the Kimidin. Through this (charm) do I see every one the Sudra as well as the Arya. 
9.,Him that flies in the air him that moves across the sky him that regards the earth as his resort that Pisaka do thou reveal (to me) ! 
1354,
1.,We take hold O victorious one of thee the mistress of remedies. I have made thee a thing of thousandfold strength for ever) one O plant! 
2.,Her the unfailingly victorious one that wards off curses that is powerful and defensive; (her and) all the plants have I assembled intending that she shall save us from this (trouble) ! 
3.,The woman who has cursed us with a curse who has arranged dire misfortune (for us) who has taken hold of our children to rob them of their strengthmay she eat (her own) offspring! 
4.,The magic spell which they have put into the unbumed vessel that which they have put into the blue and red thread that which they have put into raw flesh with these slay thou those that have prepared the spell! 
5.,Evil dreams troubled life Rakshas gruesomeness and grudging demons (arayi) all the evil- named evil-speakinor (powers) these do we drive out from us. 
6.,Death from hunger and death from thirst poverty in cattle and failure of offspring all that O apamarga do we wipe out (apa mrigmahe) with thee. 
7.,Death from thirst and death from hunger moreover ill-luck at dice all that O apamarga do we wipe out with thee. 
8.,The apamarga is sole ruler over all plants with it do we wipe mishap from thee: do thou then live exempt from disease ! 
1.,Night is like unto the sun the (starry) night is similar to day. The truth do I engage for help: the enchantments shall be devoid of force ! 
2.,He O ye gods who prepares a spell and carries it to the house of one that knows not (of it) upon him the spell returning shall fasten itself like a suckling calf upon its mother! 
3.,The person that prepares evil at home and desires with it to harm another she is consumed by fire and many stones fall upon her with a loud crash. 
4.,Bestow curses O thou (apamarga) that hast a thousand homes upon the (demons) visikha ('crestless') and vigriva ('crooked- neck')! Turn back the spell upon him that has performed it as a beloved maid (is brought) to her lover! 
5.,With this plant I have put to naught all spells those that they have put into thy field thy cattle and into thy domestics. 
1355,
6.,He that has undertaken them has not been able to accomplish them: he broke his foot his toe. He performed a lucky act for us but for himself an injury. 
7.,The apamarga-plant shall wipe out (apa marshtu) 'inherited ills and curses; yea it shall wipe out all witches and all grudging demons (arayr)! 
8.,Having wiped out all sorcerers and all grudging demons with thee O apamarga we wipe all that (evil) out. 
1.,On the one hand thou deprivest of kin on the other thou now procurest kinfolk. Do thou moreover cut the offspring of him that practises spells as a reed that springs up in the rain! 
2.,By a Brahmana thou hast been blest by Kanva the descendant of Nrishad. Thou goest like a stronor army; where thou hast arrived O plant there there is no fear. 
3.,Thou goest at the head of the plants spreading lustre as if with a light. Thou art on the one hand the protector of the weak on the other the slayer of the Rakshas. 
4.,When of yore in the beginning the gods drove out the Asuras with thee then O plant thou wast begotten as apamarga ('wiping out'). 
5.,Thou cuttest to pieces (vibhindatr) and hast a hundred branches; vibhindant ('cutting to pieces') is thy father's name. Do thou (turn) against and cut to pieces (vi bhindhi) him that is hostile towards us! 
6.,Non-being arose from the earth that goes to heaven (as) a great expansion. Thence verily that spreading vapours shall turn against the performer (of spells)! 
7.,Thou didst grow backward thou hast fruit which is turned backward. Ward off from me all curses ward off very far destructive weapons! 
8.,Protect me with a hundredfold guard me with a thousandfold (strength)! Indra the strong shall put strength into thee O prince of plants ! 
1.,With fruit turned backward thou verily didst grow O apamarga: do thou drive all curses quite far away from here! 
2.,The evil deeds and foul or the sinful acts which we have committed with thee O apamarga whose face is turned to every side do we wipe them out (apa mrigmahe). 
1356,
3.,If we have sat together with one who has black teeth or diseased nails or one who is deformed with thee O apamarga we wipe all that out (apa mrigmahe). 
1.,The (spell) which they skilfully prepare as a bride for the wedding the multiform (spell) fashioned by hand shall go to a distance: we drive it away! 
2.,The (spell) that has been brought forward by the fashioner of the spell that is endowed with head endowed with nose endowed with ears and multiform shall go to a distance: we drive it away! 
3.,(The spell) that has been prepared by a Sadra prepared by a Raga prepared by a woman prepared by Brahmans as a wife rejected by her husband shall recoil upon her fabricator (and) his kin! 
4.,With this herb have I destroyed all spells that which they have put into thy field into thy cattle and into thy men. 
5.,Evil be to him that prepares evil the curse shall recoil upon him that utters curses: back do we hurl it against him that it may slay him that fashions the spell. 
6.,Pratikina (' Back-hurler') the descendant of Angiras is our overseer and officiator (purohita): do thou drive back again (pratikih) the spells and slay yonder fashioners of the spells! 
7.,He that has said to thee (the spell): 'go on'! upon that enemy that antagonist do thou turn O spell: do not seek out us that are harmless! 
8.,He that has fitted together thy joints with skill as the wagoner (Ribhu) the joints of a chariot to him go there is thy course: this person here shall remain unknown to thee! 
9.,They that have prepared thee and taken hold of thee the cunning wizards-this is what cures it destroys the spell drives it back the opposite way - with it do we bathe thee. 
10.,Since we have come upon tile wretched (spell) as upon (a cow) with a dead calf flooded away (by a river) may all evil go away from me and mav possessions come to me! 
1,1. If (thy enemies) have made (offerings) to thy Fathers or have called thy name at the sacrifice may these herbs free thee from every indigenous evil! 
12.,From the sin of the gods and that of the fathers from mentions of (thy) name from (evil schemes) concocted at home may the herbs free thee with might through (this) charm (and these) stanzas (that are) the milk of the Rishis! 
13.,As the wind stirs up the dust from the earth and the cloud from the atmosphere thus may all misfortune driven by my charm go away from me! 
14.,Stride away (O spell) like a loudly braying she-ass that has been loosened (from the tether); reach those that have fabricated thee driven from here by (my) forceful charm! 
15.,'This is the way O spell' with these words do we lead thee. Thee that hast been sent Out against us do we send back again. Go this way like a crushing army with heavy carts thou that 
1357,
16.,In the distance there is light for thee hitherward there is no road for thee; away from us take thy course! By another road cross thou ninety navigable streams hard to cross! Do not injure go away! 
17.,As the wind the trees crush down and fell (the enemy) leave them neither cow nor horse nor serving-man! Turn from here upon those that have fabricated thee O spell awaken them to childlessness ! 
18.,The spell or the magic which they have buried against thee in the sacrificial straw (barhis) in the field (or) in the burial-ground or if with superior skill they have practised sorcery against thee that art simple and innocent in thy household fire— 
19.,The hostile insidious instrument which they have brought hither has been discovered; that which has been dug in we have detected. It shall go whence it has been brought hither; there like a horse it shall disport itself and slay the offspring of him that has fashion'ed the spell! 
20.,Swords of good brass are in our house: we know how many joints thou hast O spell! Be sure to rise go away from hence! O stranger what seekest thou here? 
21.1,shall hew off O spell thy neck and thy feet: run away! May Indra and Agni to whom belong the children (of men) protect us! 
22.,King Soma who guards and pities us and the lords of the beings shall take pity on us! 
23.,May Bhava and Sarva cast the lightning the divine missile upon him that performs evil fashions a spell and does wrong! 
24.,If thou art come two-footed (or) four-footed prepared by the fashioner of the spell multiform do thou having become eight-footed again go away from here O misfortune! 
25.,Anointed ornamented and well equipped go away carrying every misfortune! Know O spell thy maker as a daughter her own father! 
26.,Go away O spell do not stand still track (the enemy) as a wounded (animal)! He is the game thou the hunter: he is not able to put thee down. 
27.,Him that first hurls (the arrow) the other laying on in defence slays with the arrow and while the first deals the blow the other returns the blow. 
28.,Hear verily this speech of mine and then return whence thou earnest against the one that fashioned thee ! 
29.,Slaughter of an innocent is heinous O spell: do not slay our cow horse or serving-man! Wherever thou hast been put down thence thee do we remove. Be lighter than a leaf! 
30.,If ye are enveloped in darkness covered as if by a net— we tear all spells out from here send them back again to him that fashioned them. 
31.,The offspring of them that fashion the spell practise magic or plot against us crush thou O spell leave none of them! Slay those that fashion the spell! 
32.,As the sun is released from darkness abandons the night and the streaks of the dawn thus every misery (every) device prepared by the fashioner of the spell (every) misfortune do I leave behind as an elephant the dust. 
1358,
1.,The spell which they have put for thee into an unburned vessel that which they have put into mixed grain that which they have put into raw meat that do I hurl back again. 
2.,The spell which they have put for thee into a cock or that which (they have put) into a goat into a crested animal that which they have put into a sheep that do I hurl back again. 
3.,The spell which they have put for thee into solipeds into animals with teeth on both sides that which they have put into an ass that do I hurl back again. 
4.,The magic which they have put for thee into moveable property or into personal possession the spell which they have put into the field that do I hurl back again. 
5.,The spell which evil-scheming persons have put for thee into the garhapatya-fire or into the housefire that which they have put -into the house that do I hurl back again. 
6.,The spell which they have put for thee into the assembly-hall that which (they have put) into the gaming-place that which they have put into the dice that do I hurl back again. 
7.,The spell which they have put for thee into the army that which they have put into the arrow and the weapon that which they have put into the drum that do I hurl back again. 
8.,The spell which they have placed down for thee in the well or have buried in the burial- ground that which they have put into (thy) home that do I hurl back again. 
9.,That which they have put for thee into human bones that which (they have put) into the funeral fire to the consuming burning flesh-eating fire do I hurl that back again. 
10.,By an unbeaten path he has brought it (the spell) hither by a (beaten) path we drive it out from here. The fool in his folly has prepared (the spell) aorainst those that are surely wise. 
1,1. He that has undertaken it has not been able to accomplish it: he broke his foot his toe. He luckless performed an auspicious act for us that are lucky. 
12.,Him that fashions spells practises magic digs after roots sends out curses Indra shall slay with his mighty weapon Agni shall pierce with his hurled (arrow)! 
1.,An eagle found thee out a boar dug thee out with his snout. Seek thou O plant to injure him that seeks to injure (us) strike down him that prepares spells (against us'! 
2.,Strike down the wizards strike down him that prepares spells (against us); slay thou moreover O plant him that seeks to injure us! 
3.,Cutting out from the skin (of the enemy) as if (from the skin) of an antelope do ye O gods fasten the spell upon him that prepares it as (one fastens) an ornament! 
4.,Take hold by the hand and lead away the spell back to him that prepares it! Place it in his very 
1359,
5.,The spells shall take effect upon him that prepares the spells the curse upon him that pronounces the curse! As a chariot with easy-going wheels the spell shall turn back upon him that prepares the spell ! 
6.,Whether a woman or whether a man has prepared the spell for evil we lead that spell to him as a horse with the halter. 
7.,Whether thou hast been prepared by the gods or hast been prepared by men we lead thee back with the help of Indra as an ally. 
8.,O Agni gainer of battles do thou gain the battles! With a counter-charm do we hurl back the spell upon him that prepares the spell. 
9.,Hold ready (O plant) thy weapon and strike him slay the very one that has prepared (the spell)! We do not whet thee for the destruction of him that has not practised (spells). 
10.,Go as a son to his father bite like an adder that has been stepped upon. Return thou O spell to him that prepares the spell as one who overcomes his fetters! 
1,1. As the shy deer the antelope goes out to the mating (buck) thus the spell shall reach him that prepares it ! 
12.,Straighter than an arrow may it (the spell) fly against him O ye heaven and earth; may that spell take hold again of him that prepares it as (a hunter) 
13.,Like fire (the spell) shall progress in the teeth of obstacles like water along its course! As a chariot with easy-going wheels the spell shall turn back upon him that prepares the spell! 
1.,This attacking talisman (itself) a man is fastened upon the man: it is full of force slays enemies makes heroes of men furnishes shelter provides good luck. 
2.,This talisman slays enemies makes strong men is powerful lusty victorious strong; as a man it advances against sorceries and destroys them. 
3.,With this talisman Indra slew Vritra with it he full of device destroyed the Asuras with it he conquered both the heaven and earth with it he conquered the four regions of space. 
4.,This talisman of sraktya assails and attacks. With might controlling the enemies it shall protect us on all sides ! 
5.,Agni has said this and Soma has said this; Brihaspati Savitar Indra (have said) this. These divine purohitas (chaplains) shall turn back for me (upon the sorcerer) the sorceries with aggressive amulets ! 
6.,1 have interposed heaven and earth also the day and also the sun. These divine purohitas (chaplains) shall turn back for me (upon the sorcerer) the sorceries with aggressive amulets ! 
1360,
7.,(For) the folk that make an armour of the talisman of sraktya— like the sun ascending the sky it subjects and beats off the sorceries. 
8.,With the amulet of sraktya as if with a seer of powerful spirit I have gained all battles I slay the enemies the Rakshas. 
9.,The sorceries that come from the Angiras the sorceries that come from the Asuras the sorceries that prepare themselves and those that are prepared by others both these shall go away to a distance across ninety navigable streams! 
10.,As an armour upon him the gods shall tie the amulet Indra Vishnu Savitar Rudra Agni Pragapati Parameshthin ViragVaisvanara and the seers all. 
11.,Thou art the most superb of plants as if a steer among the cattle as if a tiger among beasts of prey. (The amulet) that we did seek that have we found a guardian at our side. 
12.,He that wears this talisman verily is a tiger a lion as well and too a bull; moreover a curtailer of enemies. 
13.,Him slay not the Apsaras nor the Gandharvas nor mortal men; all reoions does he rule that wears this talisman. 
14.,Kasyapa has created thee Kasyapa has produced thee. Indra wore thee in human (battle); wearing thee in the close combat he conquered. The gods did make the talisman an armour of thousandfold strength. 
15.,He that plans to harm thee with sorceries with (unholy) consecrations and sacrifices— him beat thou back O Indra with thy thunderbolt that hath a hundred joints! 
16.,This talisman verily does assail full of might victorious. Offspring and wealth it shall protect provide defence abound in luck! 
17.,Remove our enemies in the south remove our enemies in the north; remove O Indra our enemies in the west: light O hero place in front (east) of us ! 
18.,An armour for me be heaven and earth an armour day an armour the sun! An armour for me be Indra and Agni; Dhatar shall bestow (dadhAtu) an armour upon me! 
19.,The armour of Indra and Agni that is thick and strong all the gods united do not pierce. This great (armour) shall protect my body on all sides that I may obtain long life and reach old age! 
20.,The divine talisman has ascended upon me unto complete exemption from injury. Assemble about this post that protects the body furnishes threefold defence in order to (secure) strength! 
21.,Into it Indra shall deposit manliness: do ye O gods assemble about it for long life for life lasting a hundred autumns that he may reach old age. 
22.,May Indra who bestows welfare the lord of the people the slayer of Vritra the controller of enemies he that conquereth and is unconquered the soma-drinking bull that frees from danger fasten the amulet upon thee: may it protect thee on each and every side by day and by night! 
1361,
1.,Here is my varana-amulet a bull that destroys the rivals: with it do thou close in upon thy enemies crush them that desire to injure thee! 
2.,Break them crush them close in upon them: the amulet shall be thy vanguard in front! With the varana the Devas (gods) did ward off (avarayanta) the onslaught of the Asuras (demons) day after day. 
3.,This thousand-eyed yellow golden varanaamulet is a universal cure; it shall lay low thy enemies: be thou the first to injure those that hate thee! 
4.,This varana will ward off (varayishyate) the spell that has been spread against thee; this will protect thee from human danger this will protect thee from all evil! 
5.,This divine tree the varana shall shut out (varayatai)! The gods too have shutout (avivaran) the disease that has entered into this (man). 
6.,If when asleep thou shalt behold an evil dream; as often as a wild beast shall run an inauspicious course; from (ominous) sneezing and from the evil shriek of a bird this varana- amulet will protect thee (varayishyate). 
7.,From Arati (grudge) Nirriti (misfortune) from sorcery and from danger; from death and overstrong weapons the varana will protect thee. 
8.,The sin that my mother that my father that my brothers and my sister have committed; the sin that we (ourselves) have committed from that this divine tree will protect us. 
9.,Through the varana are confused my enemies and my (rival) kin. To untraversed gloom they have gone: they shall go to the nethermost darkness! 
10.,(May) I (be) unharmed with cows unharmed long-lived with undiminished men! This varana-amulet shall guard me in every region (of space) ! 
11.,This varana upon my breast the kingly divine tree shall smite asunder my enemies as Indra the Dasyus the Asuras (demons)! 
